id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
379,Machine Learning,hard,What is a Generative Adversarial Network (GAN)?,A neural network used for regression tasks,A network that combines a generative model and a discriminative model,A network used for image classification,A type of recurrent neural network,b,"A GAN consists of two neural networks: a generator that creates new data (e.g., images) and a discriminator that evaluates the data. They are trained in a zero-sum game, where the generator tries to fool the discriminator, and the discriminator tries to correctly identify fake data.",,,,,,,,,,,,,
380,Machine Learning,hard,"What is the purpose of a ""softmax"" activation function in the output layer of a neural network?",To add a non-linearity to the model,To convert the outputs into probabilities that sum to 1,To scale the outputs to be between -1 and 1,To reduce the dimensionality of the output,b,"The softmax function is used in multi-class classification problems. It takes a vector of real numbers and normalizes them into a probability distribution, where each value is between 0 and 1 and all values sum to 1.",,,,,,,,,,,,,
381,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers.",,,,,,,,,,,,,
382,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.,,,,,,,,,,,,,
383,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.,,,,,,,,,,,,,
384,Cybersecurity,easy,"What is a ""zero-day"" vulnerability?",A vulnerability that has been known for years,A vulnerability that has a severity score of zero,A newly discovered vulnerability that hackers can exploit before a patch is available,A vulnerability that can only be exploited on the first day of the month,c,"A zero-day vulnerability is a software flaw that is not yet known to the vendor or the public. It can be exploited by hackers on the 'zero day' of its public discovery, before a fix is available.",,,,,,,,,,,,,
385,Cybersecurity,easy,What is the purpose of multi-factor authentication (MFA)?,To make passwords longer,To protect against brute-force attacks,To require more than one method of verification to grant access,To automatically change a user's password,c,MFA is a security system that requires a user to provide two or more different verification factors to gain access to a resource. It adds an extra layer of security beyond just a password.,,,,,,,,,,,,,
387,Cybersecurity,medium,What is a SQL Injection attack?,An attack that targets a database with a series of SQL queries,An attack that uses malware to gain unauthorized access to a network,An attack that uses malicious SQL statements to control a database server,An attack that floods a database with too much traffic,c,"A SQL injection attack is a technique that uses malicious SQL statements inserted into a data input field to trick the database into executing unauthorized commands, which can lead to data theft or destruction.",,,,,,,,,,,,,
388,Cybersecurity,medium,What is the purpose of a VPN (Virtual Private Network)?,To increase network speed,To allow a remote user to securely access a private network over the internet,To manage a wireless network,To block unwanted websites,b,"A VPN creates a secure, encrypted connection over a public network. It allows a user to send and receive data as if they were directly connected to the private network, ensuring confidentiality and security.",,,,,,,,,,,,,
389,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.,,,,,,,,,,,,,
