id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
442,Machine Learning,easy,Which of the following is an example of classification?,Predicting prices,Sorting arrays,Spam detection,Clustering,c,"Spam detection predicts discrete categories, making it classification."
443,SQL,hard,Which level provides highest isolation?,READ COMMITTED,REPEATABLE READ,READ UNCOMMITTED,SERIALIZABLE,d,Serializable prevents all anomalies.
445,Algorithms,medium,Which algorithm uses dynamic programming to solve shortest path?,Dijkstra,Bellman-Ford,Floyd-Warshall,Kruskal,c,Floyd-Warshall uses DP.performanceid
447,Cybersecurity,medium,What is principle of least privilege?,Only admins use system,Users only get minimum access required,All users privileged,Privileges unrelated to role,b,Least privilege means granting only access needed to perform tasks.
448,Algorithms,easy,Which algorithm is divide and conquer?,Quick Sort,Bubble Sort,Insertion Sort,Linear Search,a,Quick Sort divides and conquers data.
449,DSA,easy,What is the time complexity of searching an element in a sorted array using binary search?,O1,On,Olog n,On log n,c,"Binary search is a highly efficient algorithm for searching a sorted array. It repeatedly divides the search interval in half, leading to a logarithmic time complexity of Olog n."
450,Algorithms,hard,What does the dynamic programming approach to the Fibonacci sequence reduce the complexity to?,On2,Olog n,On,O1,c,"Using memoization or tabulation, Fibonacci can be solved in On instead of exponential recursion."
452,Algorithms,hard,What is the time complexity of Strassens matrix multiplication?,On2,On2.81,On3,Olog n,b,"Strassens algorithm multiplies in On2.81, faster than classical On3."
453,SQL,hard,What is the difference between UNION and UNION ALL?,UNION removes duplicates,while UNION ALL keeps duplicates,UNION requires the same number of columns,while UNION ALL does not,union is faster than union all,UNION is used for sorting
454,Web Development,hard,What is 'hoisting' in JavaScript?,The ability to move a variable declaration to the top of its scope,The process of linking a stylesheet,The process of compiling a script,The ability to call a function before it is defined,a,"Hoisting is JavaScript's default behavior of moving declarations but not initializations to the top of the current scope, so variables and functions can be used before they are declared."
455,Operating Systems,medium,Which scheduler selects processes for CPU execution?,Long-term scheduler,Medium-term scheduler,Short-term scheduler,File scheduler,c,The short-term scheduler picks which process gets CPU next.
456,Data Structures,easy,Which data structure is commonly used for implementing undo functionality?,Queue,Stack,Heap,Graph,b,Undo uses stack to reverse actions.
457,Cybersecurity,medium,What is social engineering?,Using encryption to hack,Tricking people into giving info,Bypassing firewalls,Password cracking,b,Social engineering manipulates people into revealing confidential info.
458,Operating Systems,easy,Which OS scheduling picks first process?,FIFO,LIFO,SJF,RR,a,First Come First Served executes in arrival order.
459,Algorithms,hard,Which algorithm solves the longest common subsequence problem efficiently?,Greedy,Dynamic Programming,Backtracking,Divide and Conquer,b,LCS is solved using DP in Onm time.
460,Logic Design,easy,Which gate outputs opposite value of input?,AND,NAND,NOT,XOR,c,NOT gate inverts input signals.
462,Python,easy,How do you convert a list to a tuple?,tuplemylist,listtotuplemylist,mylist.totuple,tuple.newmylist,a,"The built-in tuple function is used to convert an iterable, like a list, into a tuple."
463,Operating Systems,medium,Which scheduling algorithm prevents starvation by aging?,Round Robin,SJF,Priority Scheduling with aging,FIFO,c,Priority scheduling with aging avoids starvation of low priority processes.
464,SQL,medium,What is the purpose of the CASE statement in SQL?,To define foreign keys,To apply conditional logic inside queries,To rename columns,To enforce constraints,b,"CASE is SQL's way of applying if-else conditions directly inside SELECT, UPDATE, or ORDER BY queries."
466,Web Development,medium,What is the purpose of the viewport meta tag in HTML?,To set the initial zoom level for the webpage on a mobile device,To define the dimensions of the entire webpage,To create an image gallery,To link to a video file,a,The viewport meta tag is used to control the layout and scaling of a webpage on mobile devices. It's a key component of responsive web design.
467,Operating Systems,hard,What is 'priority inversion'?,A high-priority process waiting for a low-priority process,Process starvation due to bad scheduling,Reversing CPU priority order,Race condition in priority queues,a,Priority inversion occurs when a higher-priority process waits on a lower-priority one due to resource locking.
469,Algorithms,easy,Which algorithm is used for searching in a sorted array?,Binary Search,Linear Search,DFS,BFS,a,Binary Search is efficient on sorted arrays.
470,Logic Design,easy,Which logic gate's output is TRUE only when all of its inputs are TRUE?,OR Gate,NOR Gate,AND Gate,XOR Gate,c,An AND gate is a digital logic gate that implements logical conjunction. It produces a TRUE output only if all of its inputs are TRUE.
472,Data Structures,hard,Which data structure is best suited for implementing Dijkstras shortest path algorithm?,Stack,Queue,Priority Queue,Hash Table,c,A priority queue often implemented with a heap efficiently handles extracting the minimum distance vertex in Dijkstras algorithm.
476,Logic Design,hard,What is characteristic problem of JK flip-flop?,Race around,Always set,Always reset,No toggling,a,JK flip-flops suffer from race around problem when both inputs are high.
478,SQL,hard,Which isolation level prevents dirty reads but allows non-repeatable reads?,READ UNCOMMITTED,READ COMMITTED,REPEATABLE READ,SERIALIZABLE,b,READ COMMITTED avoids dirty reads but not non-repeatable reads.
480,Algorithms,hard,What is the time complexity of building a heap from n elements?,Olog n,On log n,On,On2,c,Heapify can build a heap in linear time On.
484,Cybersecurity,hard,"What is a ""Man-in-the-Middle"" MitM attack?",An attack where a hacker gains unauthorized access to a computer,An attack where an attacker secretly relays and possibly alters the communication between two parties,An attack that uses a trojan to steal data,An attack that targets a specific piece of software,b,"In a MitM attack, an attacker places themselves between two communicating parties and intercepts their messages. The attacker can then read, modify, or inject false information into the communication without either party knowing."
485,Cybersecurity,medium,What is hashing primarily used for?,Confidentiality,Integrity,Availability,Backups,b,Hashing ensures data integrity.
486,SQL,hard,What is a CTE Common Table Expression?,A temporary view defined in a query,A permanent table,A type of index,A materialized view,a,A CTE is a temporary named result set used within queries to improve readability and reusability.
